Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest
https://www.screener.in/company/BEL/consolidated/,406.7,16.41,48.33,8.41,12.38,297288.75,36.44,27.45,19.83,11.75,38.86,0.57,25.84,0,6147.74,17.93,LC,BEL,1
https://www.screener.in/company/NESTLEIND/,1513,2.64,77.7,20.02,54.97,291753.97,84.14,73.17,19.3,24.81,78.79,0.94,97.54,0.08,3860.49,94.48,LC,NESTLEIND,1
https://www.screener.in/company/SHRIRAMFIN/consolidated/,1140,1.2,23.72,56.48,3.24,268236.1,11.49,16.39,14.2,33.03,13.82,0.69,15.71,3.8,11317.53,-37.32,LC,SHRIRAMFIN,1
https://www.screener.in/company/DMART/consolidated/,4025,46.58,85.85,46.95,10.76,262529.02,17.18,12.94,15.58,12.96,104.2,0.15,13.65,0.1,3057.49,65.92,LC,DMART,1
https://www.screener.in/company/ASIANPAINT/consolidated/,2730.65,31.47,53.68,49.68,12.26,261923.36,26.34,21.79,9.78,26.67,63.36,0.41,24.75,0.18,4837.09,93.4,LC,ASIANPAINT,1
https://www.screener.in/company/COALINDIA/consolidated/,407.7,33.6,8.04,50.63,2.11,251254.42,34.97,28.16,6.1,-6,7.06,3.5,41.8,0.12,31186.22,81.11,LC,COALINDIA,1
https://www.screener.in/company/HINDZINC/,590.9,36.69,14.75,40.08,11.08,249674.08,69.25,76.38,38.91,66.06,15.99,5.18,50.26,0.39,16933,73.33,LC,HINDZINC,1
https://www.screener.in/company/POWERGRID/consolidated/,266.25,37.56,15.59,17.09,2.47,247628.59,9.1,15.26,2.29,3.03,15.4,0.98,17.71,1.47,15895.79,118.63,LC,POWERGRID,1
https://www.screener.in/company/HINDALCO/consolidated/,1054.25,11.87,11.37,72.98,1.72,236913.85,13.21,12.97,20.28,20.33,10.9,1.14,13.22,0.73,16400,27.76,LC,HINDALCO,1
https://www.screener.in/company/TATASTEEL/consolidated/,184.65,21.53,19.49,8.84,2.26,230508.34,12.52,11.71,10.51,147.26,28.54,0.6,14.3,0.9,11263.7,97.72,LC,TATASTEEL,1
https://www.screener.in/company/DIVISLAB/consolidated/,8445,2.71,75.23,110.18,13.36,224188.24,21.97,16.53,16.35,29.2,67.23,0.22,16.96,0,2925,69.33,LC,DIVISLAB,1
https://www.screener.in/company/GRASIM/consolidated/,3247.9,5.06,38.49,82.76,2.14,221031.24,8.01,4.98,19.51,39.78,25.2,0.13,6.76,2.2,11261.46,-47.55,LC,GRASIM,1
https://www.screener.in/company/EICHERMOT/consolidated/,8022.05,2.63,37.89,210.41,8.77,220222.69,30.53,23.96,28.07,20.22,34.7,0.63,22.18,0.02,5772.52,59.53,LC,EICHERMOT,1
https://www.screener.in/company/ADANIGREEN/consolidated/,1324,130.36,112.51,10.83,10.92,218086.07,7.39,11.4,10.98,4.37,170.78,0.1,14.72,5.19,2146,83.81,LC,ADANIGREEN,1
